year,province,generated_tons,formal_served_tons,informal_total_tons,informal_ton_km,recovered_tons,unrecycled_tons,scenario
2020,anhui,3541.96400493,0.0,3541.96400493,35419.6400493,3541.96400493,0.0,baseline_inprov
2020,beijing,6203.252719,0.0,6203.252719,62032.52719,6203.252719,0.0,baseline_inprov
2020,chongqing,1207.28591,0.0,1207.28591,12072.8591,1207.28591,0.0,baseline_inprov
2020,fujian,2804.67637699,0.0,2804.67637699,28046.7637699,2804.67637699,0.0,baseline_inprov
2020,gansu,1000.39418954,0.0,1000.39418954,10003.9418954,1000.39418954,0.0,baseline_inprov
2020,guangdong,21265.66906783,9569.5510805235,11696.1179873065,116961.179873065,21265.66906783,0.0,baseline_inprov
2020,guangxi,1465.15454671,0.0,1465.15454671,14651.5454671,1465.15454671,0.0,baseline_inprov
2020,guizhou,1018.35338665,0.0,1018.35338665,10183.5338665,1018.35338665,0.0,baseline_inprov
2020,hainan,969.14247012,0.0,969.14247012,9691.4247012,969.14247012,0.0,baseline_inprov
2020,hebei,2774.99661491,0.0,2774.99661491,27749.9661491,2774.99661491,0.0,baseline_inprov
2020,heilongjiang,1653.76999551,0.0,1653.76999551,16537.6999551,1653.76999551,0.0,baseline_inprov
2020,henan,5341.7223829,2000.0,3341.7223829,33417.223829,5341.7223829,0.0,baseline_inprov
2020,hubei,5334.95824309,2400.7312093905,2934.2270336995,29342.270336995,5334.958243090001,0.0,baseline_inprov
2020,hunan,4042.12640644,0.0,4042.12640644,40421.2640644,4042.12640644,0.0,baseline_inprov
2020,inner mongolia,1132.47548485,0.0,1132.47548485,11324.7548485,1132.47548485,0.0,baseline_inprov
2020,jiangsu,5270.9837417,0.0,5270.9837417,52709.837417,5270.9837417,0.0,baseline_inprov
2020,jiangxi,2016.4659278,1064.498270472,951.967657328,9519.67657328,2016.4659278,0.0,baseline_inprov
2020,jilin,772.0573568899999,0.0,772.0573568899999,7720.573568899999,772.0573568899999,0.0,baseline_inprov
2020,liaoning,1478.77768848,0.0,1478.77768848,14787.7768848,1478.77768848,0.0,baseline_inprov
2020,ningxia,353.72525915,0.0,353.72525915,3537.2525915,353.72525915,0.0,baseline_inprov
2020,qinghai,170.983615017,0.0,170.983615017,1709.83615017,170.983615017,0.0,baseline_inprov
2020,shaanxi,3724.00497001,0.0,3724.00497001,37240.0497001,3724.00497001,0.0,baseline_inprov
2020,shandong,6234.56945676,0.0,6234.56945676,62345.6945676,6234.56945676,0.0,baseline_inprov
2020,shanghai,4496.159132,0.0,4496.159132,44961.59132,4496.159132,0.0,baseline_inprov
2020,shanxi,2027.00306542,0.0,2027.00306542,20270.0306542,2027.00306542,0.0,baseline_inprov
2020,sichuan,4211.44091638,0.0,4211.44091638,42114.4091638,4211.44091638,0.0,baseline_inprov
2020,tianjin,3109.796777,0.0,3109.796777,31097.96777,3109.796777,0.0,baseline_inprov
2020,tibet,54.75853884,0.0,54.75853884,547.5853883999999,54.75853884,0.0,baseline_inprov
